name,lat,lon,place_type,population
unnamed,-16.526805,179.8094691,village,
unnamed,-16.553659,179.781716,village,
unnamed,-16.5350358,179.7981985,village,
unnamed,-16.5715027,179.7615061,village,
Naceva,-17.7727021,-179.2942029,village,
Tokalau,-17.7421883,-179.2811206,village,
Tavua Town,-17.4415042,177.8635733,town,2500
Yamata,-17.3254688,177.1349508,village,
Nabukeru,-16.8418224,177.4675454,village,
Somosomo,-17.1020869,177.2609616,village,
Nacula,-16.8919376,177.3979474,village,
Wairiki,-16.8048744,179.990617,village,
unnamed,-17.7795508,178.4319266,village,
unnamed,-17.7975147,178.440088,village,
Pacific Harbour,-18.238151,178.0763283,village,
unnamed,-18.8445956,178.5303907,village,
unnamed,-19.0709115,178.0724651,village,
unnamed,-19.0714515,178.0501431,village,
unnamed,-19.072486,178.044264,village,
unnamed,-19.0740594,178.0402957,village,
unnamed,-19.0755335,178.067495,hamlet,
unnamed,-19.0757307,178.0626167,hamlet,
unnamed,-19.076692,178.072016,hamlet,
unnamed,-19.0774133,178.1074238,village,
unnamed,-19.0783923,178.0322763,hamlet,
unnamed,-19.0812061,178.0917468,hamlet,
unnamed,-19.0941156,178.0235528,hamlet,
unnamed,-19.0984,178.0206103,hamlet,
unnamed,-19.1034078,178.0148753,hamlet,
unnamed,-19.1075321,178.0058986,hamlet,
unnamed,-19.1085407,177.9996418,hamlet,
unnamed,-19.1277244,177.9555972,village,
unnamed,-19.1282239,177.9470463,hamlet,
unnamed,-19.1406086,177.9986302,village,
Matanuku,-19.1661482,178.100396,hamlet,
Dravuni Village,-18.7576869,178.5232765,village,
unnamed,-18.8797109,178.4935399,village,
unnamed,-18.8864232,178.5101808,hamlet,
unnamed,-18.8911692,178.4692174,hamlet,
unnamed,-18.9029667,178.5177151,hamlet,
Narikoso Village,-18.9174115,178.5069594,village,
unnamed,-18.9228499,178.4760246,village,
Tamavua Village,-18.1002348,178.4425968,village,
unnamed,-17.8495701,178.3006774,village,
Nawaisomo,-18.3601346,178.1311995,village,
Lalati,-18.3758373,178.1489424,hamlet,
Raviravi,-18.3765934,178.1071483,hamlet,
Soliyaga,-18.3840856,178.1662498,hamlet,
Dakuni,-18.4027911,178.1457588,village,
unnamed,-18.4079823,178.1036634,hamlet,
Naceva,-18.4194425,178.1075245,hamlet,
Suva,-18.1415884,178.4421662,city,100000
unnamed,-17.9615686,178.4012123,village,
Naqali Village,-17.9543728,178.3826182,village,
unnamed,-17.7735966,177.7571363,village,
unnamed,-17.708479,177.9075653,village,
Draiba,-17.868873,177.7691134,village,
Nanoko Village,-17.7566454,177.842151,village,300
Keiyasi,-17.8859107,177.7518682,village,
unnamed,-16.7222756,179.4550443,village,
unnamed,-17.7108751,177.7452917,village,
unnamed,-17.628235,177.7391602,village,
Lekutu,-16.6690162,178.7193852,village,
Naduri,-16.4436158,179.1462116,town,
unnamed,-16.7447331,179.1432414,hamlet,
Natuvu,-16.7447429,179.1531649,village,
unnamed,-16.7645964,179.069114,hamlet,
unnamed,-16.7941343,179.0122398,hamlet,
unnamed,-16.8165982,179.0264789,hamlet,
unnamed,-16.8283214,179.0262274,hamlet,
unnamed,-16.8762328,179.0186229,hamlet,
unnamed,-16.8876859,179.0194173,hamlet,
unnamed,-16.8936061,179.0684654,hamlet,
unnamed,-16.9062632,179.0423799,hamlet,
unnamed,-16.906632,179.0573344,hamlet,
unnamed,-16.9098284,179.0169897,hamlet,
unnamed,-16.9103693,178.9890554,hamlet,
unnamed,-16.916679,179.0249508,hamlet,
unnamed,-16.6565914,179.2689048,hamlet,
unnamed,-16.6636955,179.2549427,hamlet,
Nabalebale village,-16.6655606,179.2590398,hamlet,365
Vakativa Village,-16.6751936,179.2577578,hamlet,
unnamed,-16.6817042,179.2604763,hamlet,
unnamed,-16.6906376,179.2367866,hamlet,
Dreketi,-16.696038,179.2580851,village,
Codreudreu,-16.6989947,179.2311729,hamlet,
