ADM3_PCODE,ADM3_EN,ADM2_PCODE,ADM2_EN,ADM1_PCODE,ADM1_EN,ADM0_PCODE,ADM0_EN,M_00_04,F_00_04,T_00_04,M_05_09,F_05_09,T_05_09,M_10_14,F_10_14,T_10_14,M_15_19,F_15_19,T_15_19,M_20_24,F_20_24,T_20_24,M_25_29,F_25_29,T_25_29,M_30_34,F_30_34,T_30_34,M_35_39,F_35_39,T_35_39,M_40_44,F_40_44,T_40_44,M_45_49,F_45_49,T_45_49,M_50_54,F_50_54,T_50_54,M_55_59,F_55_59,T_55_59,M_60_64,F_60_64,T_60_64,M_65_69,F_65_69,T_65_69,M_70_74,F_70_74,T_70_74,M_75_79,F_75_79,T_75_79,M_80_84,F_80_84,T_80_84,M_85_89,F_85_89,T_85_89,M_90_94,F_90_94,T_90_94,M_95Plus,F_95Plus,T_95Plus,M_TL,F_TL,T_TL
FJ40902,Matailobau,FJ409,Naitasiri,FJ4,Central,FJ,Fiji Islands,332,246,578,250,253,503,240,234,474,158,118,276,118,107,225,125,129,254,145,153,298,132,121,253,117,111,228,95,80,175,85,85,170,78,95,173,70,73,143,73,45,118,39,37,76,23,31,54,10,15,25,1,0,1,2,0,2,0,1,1,2093,1934,4027
FJ40903,Naitasiri,FJ409,Naitasiri,FJ4,Central,FJ,Fiji Islands,8194,7813,16007,7577,7164,14741,6514,6519,13033,6692,7145,13837,7889,7979,15868,7067,7028,14095,6773,6637,13410,6013,6009,12022,4754,4804,9558,4397,4421,8818,4006,4348,8354,3436,3819,7255,2408,2793,5201,1571,1966,3537,932,1266,2198,445,731,1176,195,397,592,72,153,225,19,38,57,9,9,18,78963,81039,160002
FJ40904,Waimaro,FJ409,Naitasiri,FJ4,Central,FJ,Fiji Islands,282,258,540,258,254,512,231,233,464,179,169,348,121,114,235,117,135,252,119,127,246,116,121,237,117,119,236,115,120,235,98,105,203,98,81,179,79,71,150,51,57,108,43,46,89,22,20,42,7,9,16,0,7,7,0,2,2,0,0,0,2053,2048,4101
FJ40905,Wainimala,FJ409,Naitasiri,FJ4,Central,FJ,Fiji Islands,323,338,661,292,266,558,253,232,485,107,67,174,163,140,303,181,164,345,152,149,301,149,132,281,119,89,208,116,107,223,96,111,207,78,71,149,70,66,136,48,37,85,29,27,56,11,20,31,5,12,17,1,5,6,0,0,0,0,1,1,2193,2034,4227
FJ41001,Namosi,FJ410,Namosi,FJ4,Central,FJ,Fiji Islands,63,59,122,64,45,109,82,79,161,195,189,384,46,33,79,20,22,42,17,24,41,23,26,49,23,31,54,20,29,49,24,29,53,22,19,41,12,13,25,12,9,21,6,6,12,3,10,13,0,2,2,0,1,1,0,1,1,0,0,0,632,627,1259
FJ41002,Veivatuloa,FJ410,Namosi,FJ4,Central,FJ,Fiji Islands,248,260,508,264,239,503,233,233,466,211,172,383,180,173,353,157,146,303,180,147,327,153,147,300,140,136,276,117,104,221,114,114,228,73,76,149,82,57,139,45,46,91,23,32,55,15,11,26,7,13,20,3,5,8,1,0,1,1,0,1,2247,2111,4358
FJ41003,Wainikoroiluva,FJ410,Namosi,FJ4,Central,FJ,Fiji Islands,166,142,308,166,139,305,153,127,280,81,45,126,74,73,147,73,83,156,70,77,147,73,80,153,74,68,142,73,61,134,54,55,109,38,47,85,36,30,66,28,17,45,13,19,32,10,6,16,3,3,6,5,4,9,0,1,1,1,0,1,1191,1077,2268
FJ21101,Nakorotubu,FJ211,Ra,FJ2,Western,FJ,Fiji Islands,325,300,625,254,292,546,249,232,481,147,104,251,137,119,256,141,149,290,129,141,270,142,124,266,125,122,247,132,103,235,145,111,256,113,90,203,79,79,158,58,54,112,50,46,96,26,28,54,10,20,30,7,7,14,0,2,2,0,0,0,2269,2123,4392
FJ21102,Nalawa,FJ211,Ra,FJ2,Western,FJ,Fiji Islands,326,305,631,324,273,597,264,259,523,331,299,630,147,154,301,148,159,307,193,152,345,168,166,334,132,123,255,141,92,233,113,95,208,93,81,174,74,72,146,58,47,105,40,34,74,24,23,47,2,10,12,3,5,8,0,1,1,0,1,1,2581,2351,4932
FJ21103,Rakiraki,FJ211,Ra,FJ2,Western,FJ,Fiji Islands,701,663,1364,698,693,1391,647,667,1314,579,551,1130,409,400,809,477,491,968,546,520,1066,515,481,996,448,412,860,453,442,895,445,430,875,397,346,743,267,284,551,179,225,404,113,133,246,86,102,188,31,43,74,13,11,24,4,6,10,0,0,0,7008,6900,13908
